2023-06-10 01:58:05,374 INFO    MainThread:3674273 [wandb_setup.py:_flush():76] Current SDK version is 0.15.4
2023-06-10 01:58:05,375 INFO    MainThread:3674273 [wandb_setup.py:_flush():76] Configure stats pid to 3674273
2023-06-10 01:58:05,375 INFO    MainThread:3674273 [wandb_setup.py:_flush():76] Loading settings from /home/x-dchawra/.config/wandb/settings
2023-06-10 01:58:05,375 INFO    MainThread:3674273 [wandb_setup.py:_flush():76] Loading settings from /home/x-dchawra/polysomnography_2023/wandb/settings
2023-06-10 01:58:05,375 INFO    MainThread:3674273 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-06-10 01:58:05,375 INFO    MainThread:3674273 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-06-10 01:58:05,375 INFO    MainThread:3674273 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'all_data_analysis.py', 'program': '/home/x-dchawra/polysomnography_2023/all_data_analysis.py'}
2023-06-10 01:58:05,375 INFO    MainThread:3674273 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2023-06-10 01:58:05,375 INFO    MainThread:3674273 [wandb_init.py:_log_setup():507] Logging user logs to /home/x-dchawra/polysomnography_2023/wandb/run-20230610_015805-re2yibhn/logs/debug.log
2023-06-10 01:58:05,375 INFO    MainThread:3674273 [wandb_init.py:_log_setup():508] Logging internal logs to /home/x-dchawra/polysomnography_2023/wandb/run-20230610_015805-re2yibhn/logs/debug-internal.log
2023-06-10 01:58:05,376 INFO    MainThread:3674273 [wandb_init.py:init():547] calling init triggers
2023-06-10 01:58:05,376 INFO    MainThread:3674273 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-06-10 01:58:05,376 INFO    MainThread:3674273 [wandb_init.py:init():596] starting backend
2023-06-10 01:58:05,376 INFO    MainThread:3674273 [wandb_init.py:init():600] setting up manager
2023-06-10 01:58:05,378 INFO    MainThread:3674273 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-06-10 01:58:05,380 INFO    MainThread:3674273 [wandb_init.py:init():606] backend started and connected
2023-06-10 01:58:05,382 INFO    MainThread:3674273 [wandb_init.py:init():703] updated telemetry
2023-06-10 01:58:05,389 INFO    MainThread:3674273 [wandb_init.py:init():736] communicating run to backend with 60.0 second timeout
2023-06-10 01:58:05,615 INFO    MainThread:3674273 [wandb_run.py:_on_init():2176] communicating current version
2023-06-10 01:58:05,680 INFO    MainThread:3674273 [wandb_run.py:_on_init():2185] got version response 
2023-06-10 01:58:05,680 INFO    MainThread:3674273 [wandb_init.py:init():787] starting run threads in backend
2023-06-10 01:58:07,310 INFO    MainThread:3674273 [wandb_run.py:_console_start():2155] atexit reg
2023-06-10 01:58:07,311 INFO    MainThread:3674273 [wandb_run.py:_redirect():2010] redirect: 3
2023-06-10 01:58:07,311 INFO    MainThread:3674273 [wandb_run.py:_redirect():2075] Wrapping output streams.
2023-06-10 01:58:07,311 INFO    MainThread:3674273 [wandb_run.py:_redirect():2100] Redirects installed.
2023-06-10 01:58:07,312 INFO    MainThread:3674273 [wandb_init.py:init():828] run started, returning control to user process
2023-06-10 01:58:15,535 WARNING MsgRouterThr:3674273 [router.py:message_loop():77] message_loop has been closed
